input	zero_digits	digit_order	cube	period	operation	length	sha256	ngram	ioc
forward	0	forward	standard	1	decrypt	919	b4a6273b0f7ede390f7fa31e36185ba01795450776f7976828c479064a5393ff	-13.237640841023136	0.03680471100300838
forward	0	forward	standard	1	encrypt	919	b4a6273b0f7ede390f7fa31e36185ba01795450776f7976828c479064a5393ff	-13.237640841023136	0.03680471100300838
forward	0	forward	standard	2	decrypt	919	fb876045e4941a5ee61289a6613cffbf885286bced1a450d410b12b05b057a09	-13.25068798823656	0.0369943649083379
forward	0	forward	standard	2	encrypt	919	4b302662a3c92a48de40e38bae1f092a9b6a07cb490893d60b100a0e015489a6	-13.248070198637434	0.03693272738910581
forward	0	forward	standard	3	decrypt	919	82297781e18313df83dc01ab8f099f709d7aab8c003a88a455a6b02a21351fd5	-13.245452409038311	0.03727173374488231
forward	0	forward	standard	3	encrypt	919	82297781e18313df83dc01ab8f099f709d7aab8c003a88a455a6b02a21351fd5	-13.245452409038311	0.03727173374488231
forward	0	forward	standard	4	decrypt	919	b79e135b63d783682b4c3ac20e04db2d6523eccbde48ffa6384b2c35d45ab75a	-13.232363461042684	0.03734759530701411
forward	0	forward	standard	4	encrypt	919	2225be089b0aae9d5af806383858e5f9a5ed59fc97973ccf64f31cea62e21ac7	-13.240216829840058	0.03722432026854993
forward	0	forward	standard	5	decrypt	919	bff5ce0ef5bd7820b1ca6fcae06bf21830883d05fc11081a1552759142ad8554	-13.241398291061557	0.036781004264842196
forward	0	forward	standard	5	encrypt	919	4671de5ade1c86f402d13b8ec5b678e335363a1269255f834e921a7494a63906	-13.236893115388396	0.03765341222935795
forward	0	forward	standard	6	decrypt	919	4cfd0fcabd80fdd47770dba64de06f922514ee76b35b2955ba69284950ff98f1	-13.25068798823656	0.0372077255518336
forward	0	forward	standard	6	encrypt	919	862312863e62f6a602d19260a39faa8e9dcaf13031f70d8007f3f7624d69aad6	-13.240216829840058	0.03727173374488231
forward	0	forward	standard	7	decrypt	919	f631c1857847d4779017a602cb128169c4355ad7ea53731b717111a79c8e0841	-13.245452409038311	0.03690427930330638
forward	0	forward	standard	7	encrypt	919	3bf559474cd1a01279c94007750bdcf0352832b33af9e70e9211a6cd0ad9a5e1	-13.248070198637434	0.03705600242756999
forward	0	forward	standard	8	decrypt	919	c1048c9c9a7995f9ce271b67af9fcad6347a4ed1a84e6ee2f28ec7234aaa34d7	-13.229081547373225	0.037138976011151646
